Object Type	SUBDATA Allowed	Key/Required Fields	Variable Name	Concise Variable Name	Type of Variable	Description
3WXFormer
			3WXFMagetizingB		Real	'Magnetizing B'
			3WXFMagetizingG		Real	'Magnetizing G'
		<	AllLabels		String	'This represents a comma-separated list of the label identifiers for this object.  If labels are specified they can be used to input data into the model instead of using the key or secondary key fields'
			AreaName		String	'Area Name Primary'
			AreaName:1		String	'Area Name Secondary'
			AreaName:2		String	'Area Name Tertiary'
			AreaName:3		String	'Area Name Star'
			AreaNum		Integer	'Area Num Primary'
			AreaNum:1		Integer	'Area Num Secondary'
			AreaNum:2		Integer	'Area Num Tertiary'
			AreaNum:3		Integer	'Area Num Star'
			BGCalcField		Real	'No Calculated Fields defined yet.  To define a calculated field, browse to "Case Information and Auxiliary\Calculated Fields" '
		*1*	BusIdentifier	BusIDPri	String	'Primary bus identifier using the format described by the case information option for which key fields to use.'
		*2*	BusIdentifier:1	BusIDSec	String	'Secondary bus identifier using the format described by the case information option for which key fields to use.'
		*3*	BusIdentifier:2	BusIDTer	String	'Tertiary bus identifier using the format described by the case information option for which key fields to use.'
		**	BusIdentifier:3	BusIDStar	String	'Star bus identifier using the format described by the case information option for which key fields to use.'
			BusName3W	BusNamePri	String	'Bus Name Primary'
			BusName3W:1	BusNameSec	String	'Bus Name Secondary'
			BusName3W:2	BusNameTer	String	'Bus Name Tertiary'
		**	BusName3W:3	BusNameStar	String	'Bus Name Star'
			BusName_NomVolt	BusNameNomkVPri	String	'Name_Nominal kV Primary'
			BusName_NomVolt:1	BusNameNomkVSec	String	'Name_Nominal kV Secondary'
			BusName_NomVolt:2	BusNameNomkVTer	String	'Name_Nominal kV Tertiary'
		*A*	BusName_NomVolt:4	BusNameNomkV3Wxf	String	'Bus identifiers: Primary Secondary Tertiary'
			BusNum3W	BusNumPri	Integer	'Bus Num Primary'
			BusNum3W:1	BusNumSec	Integer	'Bus Num Secondary'
			BusNum3W:2	BusNumTer	Integer	'Bus Num Tertiary'
			BusNum3W:3	BusNunStar	Integer	'Bus Num Star'
			ContainedInDiffFlowsBC		String	'Indicates if an object is in the base case that was set with the difference flows.  If this field is YES, this object is contained in both the present case and the base case.  If this field is NO, this object is only in the present case.'
			CustomExpression		Real	'Any number of expressions may be defined for an object.  This represents Expression 1 It will be blank if no expression specified'
			CustomExpression:1		Real	'Any number of expressions may be defined for an object.  This represents Expression 2 It will be blank if no expression specified'
